symbol,date,open,high,low,close,volume,gain_percent,days_up,prior_gain
MNOV,2020-07-27,6.6,13.2,6.6,10.99,405585,66.51515151515153,1,0.0
SYPR,2020-07-28,1.07,2.085,0.9514,1.62,64229,51.4018691588785,1,0.0
KODK,2020-07-29,18.66,55.96,17.555,33.21,2212407,77.9742765273312,1,631.764705882353
KNDI,2020-07-29,3.9,9.7,3.8,9.32,107441,138.97435897435898,1,-2.377972465581979
PRPO,2020-07-30,5.17,7.995,3.84,6.985,328817,35.10638297872342,2,311.95219123505973
TAOP,2020-07-30,3.565,14.97,2.66,8.605,1057688,141.37447405329593,1,793.0360721442886
JMIA,2020-08-03,15.52,20.995,14.45,20.99,561869,35.244845360824726,5,59.01639344262295
PBI,2020-08-03,3.51,5.49,3.51,4.915,650336,40.028490028490026,4,22.086956521739133
IZEA,2020-08-05,1.38,1.97,1.35,1.84,151005,33.33333333333335,1,19.480519480519476
OPTT,2020-08-12,1.17,1.745,1.17,1.585,63987,35.47008547008548,1,21.875
IGC,2020-08-12,0.9753,2.65,0.9753,2.59,1096582,165.5593150825387,1,49.815668202764975
AHG,2020-08-13,0.8772,2.43,0.86,2.4,110344,173.59781121751024,1,13.922077922077914
ERNA,2020-08-13,2.95,7.73,2.83,4.14,595247,40.338983050847446,2,39.81042654028437
TOPS,2020-08-20,1.075,1.78,1.015,1.71,140807,59.06976744186048,1,-21.245421245421248
GEVO,2020-08-20,0.9699,2.17,0.8837,1.82,4589348,87.64821115578927,2,71.14875595553202
PED,2020-08-27,1.58,2.5,1.58,2.4,319717,51.898734177215175,1,59.5959595959596
GOGO,2020-09-02,6.93,10.045,6.86,9.485,1128766,36.86868686868687,3,34.172313649564366
NEXT,2020-09-14,2.0,3.0,2.0,2.975,83749,48.75000000000001,1,60.64257028112448
CRDF,2020-09-17,6.15,11.14,5.98,8.14,548653,32.35772357723577,1,-0.8064516129032251
OXBR,2020-09-28,1.555,9.62,1.555,2.91,558464,87.13826366559488,1,26.93877551020407
AMBO,2020-09-28,2.77,6.42,2.77,3.99,120317,44.04332129963899,1,38.5
ADIL,2020-09-29,1.82,3.99,1.75,3.04,164303,67.03296703296704,2,38.403041825095066
WWR,2020-10-02,2.7,5.6,2.68,4.4,2568618,62.962962962962976,1,79.40199335548175
WWR,2020-10-05,4.8,9.14,4.61,8.3,2869233,72.9166666666667,2,151.96850393700788
PPSI,2020-10-06,3.33,9.375,2.9,4.79,928540,43.843843843843835,2,104.29447852760738
OPTT,2020-10-06,1.47,2.56,1.395,2.19,195599,48.979591836734706,3,47.73869346733668
ELSE,2020-10-06,3.69,8.725,3.69,8.49,102080,130.0813008130081,1,2.216066481994461
CVV,2020-10-07,3.16,7.42,3.16,5.75,213107,81.9620253164557,1,-5.952380952380942
IH,2020-10-09,12.29,16.1,12.29,16.1,58584,31.00081366965015,1,0.0
WAFU,2020-10-12,3.46,7.69,3.46,6.87,83517,98.55491329479769,1,-0.5747126436781658
REPL,2020-10-14,25.175,46.29,25.175,36.19,474175,43.753723932472674,1,0.6195043964828173
MDRR,2020-10-14,2.04,6.06,2.03,2.86,442654,40.19607843137254,1,42.65734265734267
KXIN,2020-10-14,0.71,2.18,0.71,1.91,90199,169.01408450704224,1,69.04761904761905
KXIN,2020-10-16,1.585,4.49,1.585,2.19,203907,38.17034700315458,3,244.56521739130434
AIHS,2020-10-19,0.944,1.5,0.9298,1.41,53078,49.36440677966101,1,50.27061445399554
KXIN,2020-10-19,3.285,13.35,2.77,8.08,1406668,145.96651445966512,4,613.820078226858
MATH,2020-10-19,1.72,3.69,1.65,2.46,54810,43.0232558139535,1,63.8095238095238
MATH,2020-10-20,2.14,4.26,2.1,3.675,59787,71.72897196261681,2,98.14814814814814
TC,2020-10-22,4.18,6.42,4.14,5.86,67527,40.191387559808625,2,266.66666666666663
MAX,2020-10-28,22.01,31.8,21.875,31.79,231473,44.4343480236256,1,0.0
POLA,2020-10-29,2.6,3.87,2.6,3.685,1099825,41.73076923076924,1,-5.454545454545457
MARPS,2020-10-30,2.46,5.83,2.46,3.36,72566,36.58536585365852,1,-32.231404958677686
APVO,2020-11-03,7.98,11.39,7.1,11.22,567930,40.601503759398504,1,16.326530612244895
APVO,2020-11-04,10.0,18.145,8.935,16.69,709301,66.9,2,62.074554294975684
APVO,2020-11-05,14.78,26.23,13.965,21.2,585816,43.43707713125846,3,131.66144200626957
AHT,2020-11-09,1.8,5.31,1.77,4.69,452419,160.55555555555557,1,27.65957446808511
GTEC,2020-11-10,3.41,9.97,3.34,5.14,816990,50.733137829912,1,34.251968503937015
EQ,2020-11-11,3.69,6.43,3.66,5.1,470647,38.21138211382114,1,-26.640159045725653
CBAT,2020-11-16,7.92,11.385,7.15,11.19,578610,41.28787878787878,3,122.15988779803646
SBLX,2020-11-19,4.44,6.53,4.44,6.15,234198,38.51351351351351,2,26.49572649572651
KXIN,2020-11-20,3.635,7.43,3.635,5.99,334340,64.78679504814306,1,16.134185303514382
TANH,2020-11-23,1.43,2.34,1.39,2.12,254832,48.251748251748275,1,-60.387811634349035
FTEK,2020-11-23,1.59,2.86,1.59,2.78,162105,74.84276729559747,4,63.95133017116932
GSM,2020-11-23,1.035,1.785,1.02,1.4,55890,35.26570048309179,4,48.5361653272101
GEVO,2020-11-23,1.42,2.14,1.41,2.12,177072,49.29577464788735,1,38.53658536585367
FCEL,2020-11-23,6.17,8.69,6.16,8.545,1666497,38.49270664505673,4,64.53333333333333
YJ,2020-11-24,2.65,5.7,2.63,4.29,549166,61.8867924528302,3,43.24324324324322
NVVE,2020-11-25,14.985,22.69,14.7,22.22,265675,48.2816149482816,1,49.849999999999994
TWAV,2020-11-30,4.34,12.22,4.11,10.19,67476,134.79262672811058,4,21.2290502793296
CAAS,2020-11-30,7.47,10.45,5.79,10.42,145324,39.49129852744311,1,121.66172106824926
YALA,2020-11-30,11.06,15.6,10.53,15.3,102031,38.336347197106704,1,15.08844953173778
LXRX,2020-12-08,2.35,4.04,2.22,3.09,1254324,31.48936170212764,3,60.409556313993164
GOVX,2020-12-09,3.13,7.5,3.13,5.81,188219,85.62300319488818,1,12.589928057553967
SLS,2020-12-10,9.21,19.37,7.14,17.3,1183461,87.83930510314875,3,149.59349593495938
NVNO,2020-12-11,8.91,17.5,8.91,11.62,72875,30.415263748597066,1,21.142080217539096
BCDA,2020-12-15,5.05,8.58,5.03,6.66,189821,31.881188118811888,2,93.85796545105565
DWTX,2020-12-17,12.25,16.45,10.45,16.45,244780,34.28571428571428,1,0.0
MVIS,2020-12-22,6.54,9.715,6.25,9.24,1287049,41.28440366972477,2,57.02280912364945
AQMS,2020-12-22,1.83,2.65,1.83,2.475,202782,35.24590163934427,1,52.500000000000014
BGMS,2020-12-23,6.25,8.61,6.25,8.49,89800,35.84,4,45.6876456876457
SPRU,2020-12-23,19.8,34.47,19.12,32.56,425115,64.44444444444446,1,31.91205862758162
JAGX,2020-12-23,0.7156,1.265,0.65,1.055,1192380,47.42873113471211,3,71.60671462829737
